58,852.72,124.1016
57,0,0
56,454.5349,19.3924
55,448.4451,19.06827
54,442.3572,18.74014
53,437.2711,18.40478
52,431.1868,18.07102
51,425.1042,17.7355
50,420.0233,17.39538
49,413.9442,17.05857
48,407.8667,16.72206
47,401.7909,16.38646
46,395.7167,16.05235
45,390.644,15.71738
44,384.573,15.38791
43,378.5035,15.06139
42,372.4355,14.73821
41,366.369,14.41871
40,360.304,14.10319
39,354.2405,13.79191
38,348.1784,13.48508
37,342.1176,13.18289
36,337.0583,12.88354
35,331.0003,12.59109
34,324.9437,12.30359
33,318.8883,12.0211
32,312.8343,11.74362
31,306.7815,11.47117
30,300.7299,11.20373
29,295.6796,10.93987
28,289.6305,10.68237
27,283.5826,10.42972
26,277.5358,10.18183
25,272.4902,9.937502
24,266.4457,9.698955
23,260.4023,9.464903
22,255.36,9.234268
21,249.3188,9.008954
20,244.2786,8.786942
19,238.2394,8.569947
18,233.2013,8.356136
17,227.1641,8.147049
16,222.1279,7.941029
15,217.0927,7.738779
14,211.0584,7.540855
13,206.0251,7.34584
12,200.9926,7.154335
11,195.961,6.966265
10,190.9303,6.78156
9,185.9005,6.600158
8,180.8715,6.421998
7,176.8433,6.246586
6,171.816,6.07479
5,166.7894,5.906097
4,162.7636,5.7401
3,157.7386,5.577538
2,153.7144,5.417658
 87.39766 
